state,estimate,2014,origin
AL,65000,65,Mexico
AK,10000,10,Philippines
AZ,325000,325,Mexico
AR,70000,70,Mexico
CA,2350000,2350,Mexico
CT,120000,120,Mexico
CO,200000,200,Mexico
DE,25000,25,Mexico
DC,25000,25,El Salvador
FL,850000,850,Mexico
GA,375000,375,Mexico
HI,45000,45,Philippines
ID,45000,45,Mexico
IL,450000,450,Mexico
IN,110000,110,Mexico
IA,40000,40,Mexico
KS,75000,75,Mexico
KY,50000,50,Mexico
LA,70000,70,Mexico
ME,5000,5,N/A
MD,250000,250,El Salvador
MA,210000,210,Brazil
MI,130000,130,Mexico
MN,100000,100,Mexico
MS,25000,25,Mexico
MO,55000,55,Mexico
MT,5000,5,N/A
NE,45000,45,Mexico
NV,210000,210,Mexico
NH,10000,10,India
NJ,500000,500,Mexico
NM,85000,85, Mexico
NY,775000,775,Mexico
NC,350000,350,Mexico
ND,5000,5,N/A
OH,95000,95,Mexico
OK,95000,95,Mexico
OR,130000,130,Mexico
PA,180000,180,Mexico
RI,30000,30,Guatemala
SC,85000,85,Mexico
SD,5000,5,Mexico
TN,120000,120,Mexico
TX,1650000,1650,Mexico
UT,100000,100,Mexico
VT,5000,5,N/A
VA,300000,300,El Salvador
WA,250000,250,Mexico
WV,5000,5,N/A
WI,80000,80,Mexico
WY,5000,5,Mexico
